Date,Close,,行标签,平均值项:Close,,,,,,
1973/5/11,108.169998,,,,,,,,,
1973/5/14,105.900002,,,,,,,,,
1973/5/15,106.57,,,,,,,,,
1973/5/16,106.43,,,,,,,,,
1973/5/17,105.559998,,,,,,,,,
1973/5/18,103.860001,,,,,,,,,
1973/5/21,102.730003,,,,,,,,,
1973/5/22,103.580002,,,,,,,,,
1973/5/23,104.07,,,,,,,,,
1973/5/24,107.139999,,,,,,,,,
1973/5/25,107.940002,,,,,,,,,
1973/5/29,107.510002,,,,,,,,,
1973/5/30,105.910004,,,,,,,,,
1973/5/31,104.949997,,,,,,,,,
1973/6/1,103.93,,,,,,,,,
1973/6/4,102.970001,,,,,,,,,
1973/6/5,104.620003,,,,,,,,,
1973/6/6,104.309998,,,,,,,,,
1973/6/7,105.839996,,,,,,,,,
1973/6/8,107.029999,,,,,,,,,
1973/6/11,106.699997,,,,,,,,,
1973/6/12,108.290001,,,,,,,,,
1973/6/13,107.599998,,,,,,,,,
1973/6/14,106.400002,,,,,,,,,
1973/6/15,105.099998,,,,,,,,,
1973/6/18,103.599998,,,,,,,,,
1973/6/19,103.989998,,,,,,,,,
1973/6/20,104.440002,,,,,,,,,
1973/6/21,103.209999,,,,,,,,,
1973/6/22,103.699997,,,,,,,,,
1973/6/25,102.25,,,,,,,,,
1973/6/26,103.300003,,,,,,,,,
1973/6/27,103.620003,,,,,,,,,
1973/6/28,104.690002,,,,,,,,,
1973/6/29,104.260002,,,,,,,,,
1973/7/2,102.900002,,,,,,,,,
1973/7/3,101.870003,,,,,,,,,
1973/7/5,101.779999,,,,,,,,,
1973/7/6,101.279999,,,,,,,,,
1973/7/9,102.139999,,,,,,,,,
1973/7/10,103.519997,,,,,,,,,
1973/7/11,105.800003,,,,,,,,,
1973/7/12,105.5,,,,,,,,,
1973/7/13,104.089996,,,,,,,,,
1973/7/16,105.669998,,,,,,,,,
1973/7/17,105.720001,,,,,,,,,
1973/7/18,106.349998,,,,,,,,,
1973/7/19,106.550003,,,,,,,,,
1973/7/20,107.139999,,,,,,,,,
1973/7/23,107.519997,,,,,,,,,
1973/7/24,108.139999,,,,,,,,,
1973/7/25,109.639999,,,,,,,,,
1973/7/26,109.849998,,,,,,,,,
1973/7/27,109.589996,,,,,,,,,
1973/7/30,109.25,,,,,,,,,
1973/7/31,108.220001,,,,,,,,,
1973/8/1,106.830002,,,,,,,,,
1973/8/2,106.669998,,,,,,,,,
1973/8/3,106.489998,,,,,,,,,
1973/8/6,106.730003,,,,,,,,,
1973/8/7,106.550003,,,,,,,,,
1973/8/8,105.550003,,,,,,,,,
1973/8/9,105.610001,,,,,,,,,
1973/8/10,104.769997,,,,,,,,,
1973/8/13,103.709999,,,,,,,,,
1973/8/14,102.709999,,,,,,,,,
1973/8/15,103.010002,,,,,,,,,
1973/8/16,102.290001,,,,,,,,,
1973/8/17,102.309998,,,,,,,,,
1973/8/20,101.610001,,,,,,,,,
1973/8/21,100.889999,,,,,,,,,
1973/8/22,100.529999,,,,,,,,,
1973/8/23,101.910004,,,,,,,,,
1973/8/24,101.620003,,,,,,,,,
1973/8/27,102.419998,,,,,,,,,
1973/8/28,103.019997,,,,,,,,,
1973/8/29,104.029999,,,,,,,,,
1973/8/30,103.879997,,,,,,,,,
1973/8/31,104.25,,,,,,,,,
1973/9/4,104.510002,,,,,,,,,
1973/9/5,104.639999,,,,,,,,,
1973/9/6,105.150002,,,,,,,,,
1973/9/7,104.760002,,,,,,,,,
1973/9/10,103.849998,,,,,,,,,
1973/9/11,103.220001,,,,,,,,,
1973/9/12,103.059998,,,,,,,,,
1973/9/13,103.360001,,,,,,,,,
1973/9/14,104.440002,,,,,,,,,
1973/9/17,104.150002,,,,,,,,,
1973/9/18,103.769997,,,,,,,,,
1973/9/19,105.879997,,,,,,,,,
1973/9/20,106.760002,,,,,,,,,
1973/9/21,107.199997,,,,,,,,,
1973/9/24,107.360001,,,,,,,,,
1973/9/25,108.050003,,,,,,,,,
1973/9/26,108.830002,,,,,,,,,
1973/9/27,109.080002,,,,,,,,,
1973/9/28,108.43,,,,,,,,,
1973/10/1,108.209999,,,,,,,,,
1973/10/2,108.790001,,,,,,,,,
1973/10/3,108.779999,,,,,,,,,
1973/10/4,108.410004,,,,,,,,,
1973/10/5,109.849998,,,,,,,,,
1973/10/8,110.230003,,,,,,,,,
1973/10/9,110.129997,,,,,,,,,
1973/10/10,109.220001,,,,,,,,,
1973/10/11,111.089996,,,,,,,,,
1973/10/12,111.440002,,,,,,,,,
1973/10/15,110.050003,,,,,,,,,
1973/10/16,110.190002,,,,,,,,,
1973/10/17,109.970001,,,,,,,,,
1973/10/18,110.010002,,,,,,,,,
1973/10/19,110.220001,,,,,,,,,
1973/10/22,109.160004,,,,,,,,,
1973/10/23,109.75,,,,,,,,,
1973/10/24,110.269997,,,,,,,,,
