DATE,FEDFUNDS,,,,,
1988/2/1,6.58,0.0658,,0.0821,,0.0163
1988/3/1,6.58,0.0658,,0.0837,,0.0179
1988/4/1,6.87,0.0687,,0.0872,,0.0185
1988/5/1,7.09,0.0709,,0.0909,,0.02
1988/6/1,7.51,0.0751,,0.0892,,0.0141
1988/7/1,7.75,0.0775,,0.0906,,0.0131
1988/8/1,8.01,0.0801,,0.0926,,0.0125
1988/9/1,8.19,0.0819,,0.0898,,0.0079
1988/10/1,8.3,0.083,,0.088,,0.005
1988/11/1,8.35,0.0835,,0.0896,,0.0061
1988/12/1,8.76,0.0876,,0.0911,,0.0035
1989/1/1,9.12,0.0912,,0.0909,,-0.0003
1989/2/1,9.36,0.0936,,0.0917,,-0.0019
1989/3/1,9.85,0.0985,,0.0936,,-0.0049
1989/4/1,9.84,0.0984,,0.0918,,-0.0066
1989/5/1,9.81,0.0981,,0.0886,,-0.0095
1989/6/1,9.53,0.0953,,0.0828,,-0.0125
1989/7/1,9.24,0.0924,,0.0802,,-0.0122
1989/8/1,8.99,0.0899,,0.0811,,-0.0088
1989/9/1,9.02,0.0902,,0.0819,,-0.0083
1989/10/1,8.84,0.0884,,0.0801,,-0.0083
1989/11/1,8.55,0.0855,,0.0787,,-0.0068
1989/12/1,8.45,0.0845,,0.0784,,-0.0061
1990/1/1,8.23,0.0823,,0.0821,,-0.0002
1990/2/1,8.24,0.0824,,0.0847,,0.0023
1990/3/1,8.28,0.0828,,0.0859,,0.0031
1990/4/1,8.26,0.0826,,0.0879,,0.0053
1990/5/1,8.18,0.0818,,0.0876,,0.0058
1990/6/1,8.29,0.0829,,0.0848,,0.0019
1990/7/1,8.15,0.0815,,0.0847,,0.0032
1990/8/1,8.13,0.0813,,0.0875,,0.0062
1990/9/1,8.2,0.082,,0.0889,,0.0069
1990/10/1,8.11,0.0811,,0.0872,,0.0061
1990/11/1,7.81,0.0781,,0.0839,,0.0058
1990/12/1,7.31,0.0731,,0.0807,,0.0076
1991/1/1,6.91,0.0691,,0.0809,,0.0118
1991/2/1,6.25,0.0625,,0.0785,,0.016
1991/3/1,6.12,0.0612,,0.0811,,0.0199
1991/4/1,5.91,0.0591,,0.0804,,0.0213
1991/5/1,5.78,0.0578,,0.0807,,0.0229
1991/6/1,5.9,0.059,,0.0828,,0.0238
1991/7/1,5.82,0.0582,,0.0827,,0.0245
1991/8/1,5.66,0.0566,,0.079,,0.0224
1991/9/1,5.45,0.0545,,0.0765,,0.022
1991/10/1,5.21,0.0521,,0.0753,,0.0232
1991/11/1,4.81,0.0481,,0.0742,,0.0261
1991/12/1,4.43,0.0443,,0.0709,,0.0266
1992/1/1,4.03,0.0403,,0.0703,,0.03
1992/2/1,4.06,0.0406,,0.0734,,0.0328
1992/3/1,3.98,0.0398,,0.0754,,0.0356
1992/4/1,3.73,0.0373,,0.0748,,0.0375
1992/5/1,3.82,0.0382,,0.0739,,0.0357
1992/6/1,3.76,0.0376,,0.0726,,0.035
1992/7/1,3.25,0.0325,,0.0684,,0.0359
1992/8/1,3.3,0.033,,0.0659,,0.0329
1992/9/1,3.22,0.0322,,0.0642,,0.032
1992/10/1,3.1,0.031,,0.0659,,0.0349
1992/11/1,3.09,0.0309,,0.0687,,0.0378
1992/12/1,2.92,0.0292,,0.0677,,0.0385
1993/1/1,3.02,0.0302,,0.066,,0.0358
1993/2/1,3.03,0.0303,,0.0626,,0.0323
1993/3/1,3.07,0.0307,,0.0598,,0.0291
1993/4/1,2.96,0.0296,,0.0597,,0.0301
1993/5/1,3,0.03,,0.0604,,0.0304
1993/6/1,3.04,0.0304,,0.0596,,0.0292
1993/7/1,3.06,0.0306,,0.0581,,0.0275
1993/8/1,3.03,0.0303,,0.0568,,0.0265
1993/9/1,3.09,0.0309,,0.0536,,0.0227
1993/10/1,2.99,0.0299,,0.0533,,0.0234
1993/11/1,3.02,0.0302,,0.0572,,0.027
1993/12/1,2.96,0.0296,,0.0577,,0.0281
1994/1/1,3.05,0.0305,,0.0575,,0.027
1994/2/1,3.25,0.0325,,0.0597,,0.0272
1994/3/1,3.34,0.0334,,0.0648,,0.0314
